lab_id,model_id,model_expression,anger,disgust,fear,happiness,sadness,surprise,other
MF0024,0002,sadness,0.08771929824561403,0.19298245614035087,0.09649122807017543,0.017543859649122806,0.5350877192982456,0.043859649122807015,0.02631578947368421
MF0024,0002,surprise,NA,0.041237113402061855,0.3917525773195876,0.010309278350515464,0.041237113402061855,0.4845360824742268,0.030927835051546393
MF0024,0003,anger,0.16091954022988506,0.08045977011494253,0.14942528735632185,NA,0.4827586206896552,0.022988505747126436,0.10344827586206896
MF0024,0003,disgust,0.12359550561797752,0.15730337078651685,0.14606741573033707,0.02247191011235955,0.42696629213483145,0.02247191011235955,0.10112359550561797
MF0024,0003,fear,NA,0.010309278350515464,0.061855670103092786,0.010309278350515464,0.020618556701030927,0.8865979381443299,0.010309278350515464
MF0024,0003,happiness,NA,NA,0.011627906976744186,0.9534883720930233,0.011627906976744186,0.011627906976744186,0.011627906976744186
MF0024,0003,sadness,0.06140350877192982,0.043859649122807015,0.07894736842105263,0.017543859649122806,0.6052631578947368,0.03508771929824561,0.15789473684210525
MF0024,0003,surprise,NA,0.010309278350515464,0.1134020618556701,0.010309278350515464,0.020618556701030927,0.8350515463917526,0.010309278350515464
MF0024,0004,anger,0.2988505747126437,0.04597701149425287,0.21839080459770116,NA,0.08045977011494253,0.21839080459770116,0.13793103448275862
MF0024,0004,disgust,0.07865168539325842,0.8089887640449438,0.02247191011235955,NA,0.0449438202247191,0.033707865168539325,0.011235955056179775
MF0024,0004,fear,0.09278350515463918,0.020618556701030927,0.23711340206185566,0.020618556701030927,NA,0.6288659793814433,NA
MF0024,0004,happiness,NA,NA,NA,1,NA,NA,NA
MF0024,0004,sadness,0.19298245614035087,0.017543859649122806,0.08771929824561403,0.008771929824561403,0.39473684210526316,0.03508771929824561,0.2631578947368421
MF0024,0004,surprise,0.030927835051546393,0.061855670103092786,0.020618556701030927,0.14432989690721648,0.020618556701030927,0.6907216494845361,0.030927835051546393
MF0024,0005,anger,0.14942528735632185,0.27586206896551724,0.034482758620689655,0.022988505747126436,0.16091954022988506,0.14942528735632185,0.20689655172413793
MF0024,0005,disgust,0.02247191011235955,0.8539325842696629,NA,0.02247191011235955,0.02247191011235955,0.0449438202247191,0.033707865168539325
MF0024,0005,fear,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.09278350515463918,0.15463917525773196,0.09278350515463918,0.5979381443298969
