session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
155751,1136,ManyFace Pilot Ratings - rater demographics,7875,131590,NA,guest,0,try,92865403,6,2,2025-05-06T11:36:12Z,2025-05-06T11:45:03Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,gender,92865399,1,male,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,age,92865400,2,25,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,residence,92865401,3,GB,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155752,1136,ManyFace Pilot Ratings - rater demographics,7875,131592,NA,guest,0,try,92865403,6,2,2025-05-06T11:31:07Z,2025-05-06T11:31:32Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,gender,92865399,1,male,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,age,92865400,2,46,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,residence,92865401,3,AU,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,ethnicity,92865402,4,White,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,device,92865411,5,desktop,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155753,1136,ManyFace Pilot Ratings - rater demographics,7875,131591,NA,guest,0,try,92865403,6,2,2025-05-06T11:34:42Z,2025-05-06T11:35:06Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,gender,92865399,1,male,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,age,92865400,2,26,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,residence,92865401,3,NL,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,ethnicity,92865402,4,White/Caucasian,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,device,92865411,5,laptop,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
155754,1136,ManyFace Pilot Ratings - rater demographics,7875,131593,NA,guest,0,try,92865403,6,2,2025-05-06T11:33:49Z,2025-05-06T11:34:35Z
