lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent
MF0013,0003,1,1,1,1,1,1,1,1,34,chinese,Asian,1,no,female,female,156,cm,156,60,kg,60,1,1,2,1,1,1,1,1,1
MF0013,0004,1,1,1,1,1,1,1,1,22,chinese,Asian,1,NA,male,male,170,cm,170,75,kg,75,1,1,1,1,1,1,1,1,1
MF0013,0005,1,1,1,1,1,1,1,1,24,chinese,Asian,1,NA,female,female,162,cm,162,53,kg,53,1,1,1,1,1,1,1,1,2
MF0013,0006,1,1,1,1,1,1,1,1,24,chinese,Asian,1,NA,male,male,175,cm,175,70,kg,70,1,1,1,1,1,1,1,1,1
MF0013,0007,1,1,1,1,1,1,1,1,35,chinese,Asian,1,NA,female,female,162,cm,162,66,kg,66,1,1,1,1,1,1,1,1,1
MF0013,0008,1,1,1,1,1,1,1,1,23,malaysian chinese,Asian,1,NA,female,female,165,cm,165,63,kg,63,1,1,1,1,1,1,1,1,1
MF0013,0009,1,1,1,1,1,1,1,1,32,white,White,1,NA,male,male,186,cm,186,70,kg,70,1,1,1,1,1,1,1,1,1
MF0013,0010,1,1,1,1,1,1,1,1,27,chinese-indian-malay mixed,Mixed,1,NA,f,female,160,cm,160,55,kg,55,1,1,1,1,1,1,1,1,1
MF0013,0011,1,1,1,1,1,1,1,1,40,white,White,1,NA,female,female,166,cm,166,80,kg,80,1,2,1,1,1,2,1,1,1
MF0013,0012,0,0,0,1,1,0,0,1,21,chinese,Asian,1,N/A,female,female,158,cm,158,0,kg,NA,1,2,1,1,1,1,1,1,1
MF0014,0001,1,1,0,1,1,0,1,1,23,chinese,Asian,1,NA,female,female,162,cm,162,62,kg,62,1,1,1,1,1,1,1,1,1
MF0014,0002,1,1,0,1,1,1,1,1,22,chinese,Asian,1,NA,male,male,164,cm,164,64,kg,64,1,1,1,1,1,1,1,1,1
MF0014,0003,1,0,0,1,1,1,1,1,28,chinese,Asian,1,NA,female,female,165,cm,165,53,kg,53,1,1,1,1,1,1,2,1,1
MF0014,0004,1,1,0,1,1,1,0,1,24,chinese,Asian,1,NA,male,male,181,cm,181,67,kg,67,1,1,1,1,1,1,1,1,1
MF0014,0005,1,0,0,1,1,1,1,1,24,chinese,Asian,1,-,male,male,176,cm,176,60,kg,60,1,1,1,1,1,1,1,1,1
MF0014,0006,1,1,0,1,1,1,1,1,20,chinese,Asian,1,NA,male,male,170,cm,170,120,kg,120,1,1,1,1,1,1,1,1,1
MF0014,0007,1,1,0,1,1,1,1,1,21,chinese,Asian,1,NA,male,male,185,cm,185,75,kg,75,1,1,1,1,1,1,1,1,1
MF0014,0008,1,1,0,1,1,0,1,1,20,chinese,Asian,1,NA,female,female,172,cm,172,NA,NA,NA,1,1,1,1,1,1,1,1,1
MF0014,0009,1,1,0,1,1,1,1,1,19,malaysian,Asian,1,NA,genderfluid (amab),non-binary,165,cm,165,59,kg,59,1,1,1,1,1,1,1,1,1
MF0014,0010,1,0,0,1,1,1,0,1,27,chinese,Asian,1,NA,male,male,175,cm,175,70,kg,70,1,1,1,1,1,1,1,1,1
